ID,Imported table,Title (from Imported table),DOI (from Imported table),Mosquito species,Mosquito subsp,Mosquito origin (country),Virus,Virus strain,DENV serotype,Notes,Attachments,Status
539,"""Iranpour, M; Turell, MJ; Lindsay, LR""",POTENTIAL FOR CANADIAN MOSQUITOES TO TRANSMIT RIFT VALLEY FEVER VIRUS,10.2987/11-6169.1,Culiseta minnesotae,,Canada,Rift Valley fever virus, ZH501,,,,
538,"""Iranpour, M; Turell, MJ; Lindsay, LR""",POTENTIAL FOR CANADIAN MOSQUITOES TO TRANSMIT RIFT VALLEY FEVER VIRUS,10.2987/11-6169.1,Culiseta inornata,,Canada,Rift Valley fever virus, ZH501,,,,
679,"""Turell, MJ; Linthicum, KJ; Patrican, LA; Davies, FG; Kairo, A; Bailey, CL""",Vector competence of selected African mosquito (Diptera : Culicidae) species for Rift Valley fever virus,10.1603/0022-2585(2008)45[102:VCOSAM]2.0.CO;2,Aedes palpalis,,Central African Rep.,Rift Valley fever virus,ZH501,,,,
681,"""Turell, MJ; Linthicum, KJ; Patrican, LA; Davies, FG; Kairo, A; Bailey, CL""",Vector competence of selected African mosquito (Diptera : Culicidae) species for Rift Valley fever virus,10.1603/0022-2585(2008)45[102:VCOSAM]2.0.CO;2,Aedes palpalis,,Central African Rep.,Rift Valley fever virus, Kenyan strain (21445),,,,
680,"""Turell, MJ; Linthicum, KJ; Patrican, LA; Davies, FG; Kairo, A; Bailey, CL""",Vector competence of selected African mosquito (Diptera : Culicidae) species for Rift Valley fever virus,10.1603/0022-2585(2008)45[102:VCOSAM]2.0.CO;2,Aedes palpalis,,Central African Rep.,Rift Valley fever virus,Zinga (DakArB1976),,,,
21,"""de Lataillade, LD; Vazeille, M; Obadia, T; Madec, Y; Mousson, L; Kamgang, B; Chen, CH; Failloux, AB; Yen, PS""",Risk of yellow fever virus transmission in the Asia-Pacific region,10.1038/s41467-020-19625-9,Aedes albopictus,,China,Yellow fever virus,,,,,
28,"""Ye, GG; Wang, YJ; Liu, XY; Dong, QN; Cai, QX; Yuan, ZM; Xia, H""","Transmission competence of a new mesonivirus, Yichang virus, in mosquitoes and its interference with representative flaviviruses",10.1371/journal.pntd.0008920,Aedes albopictus,,China,Dengue virus,DENV-2,DENV-2,,,
87,"""Guo, XX; Jang, T; Jiang, YT; Zhao, T; Li, CX; Dong, YD; Xing, D; Qin, CF; Zhao, TY""","Potential Vector Competence of Mosquitoes to Transmit Baiyangdian Virus, a New Tembusu-Related Virus in China",10.1089/vbz.2019.2523,Culex quinquefasciatus,,China,Baiyangdian virus,BYDV-1,,"new duck Tembusu-related flavivirus, Baiyangdian virus (BYDV)",,
88,"""Guo, XX; Jang, T; Jiang, YT; Zhao, T; Li, CX; Dong, YD; Xing, D; Qin, CF; Zhao, TY""","Potential Vector Competence of Mosquitoes to Transmit Baiyangdian Virus, a New Tembusu-Related Virus in China",10.1089/vbz.2019.2523,Culex tritaeniorhynchus,,China,Baiyangdian virus,BYDV-1,,"new duck Tembusu-related flavivirus, Baiyangdian virus (BYDV)",,
89,"""Guo, XX; Jang, T; Jiang, YT; Zhao, T; Li, CX; Dong, YD; Xing, D; Qin, CF; Zhao, TY""","Potential Vector Competence of Mosquitoes to Transmit Baiyangdian Virus, a New Tembusu-Related Virus in China",10.1089/vbz.2019.2523,Culex pipiens,pallens,China,Baiyangdian virus,BYDV-1,,"new duck Tembusu-related flavivirus, Baiyangdian virus (BYDV)",,
90,"""Guo, XX; Jang, T; Jiang, YT; Zhao, T; Li, CX; Dong, YD; Xing, D; Qin, CF; Zhao, TY""","Potential Vector Competence of Mosquitoes to Transmit Baiyangdian Virus, a New Tembusu-Related Virus in China",10.1089/vbz.2019.2523,Aedes albopictus,,China,Baiyangdian virus,BYDV-1,,"new duck Tembusu-related flavivirus, Baiyangdian virus (BYDV)",,
125,"""Hameed, M; Liu, K; Anwar, MN; Wahaab, A; Safdar, A; Di, D; Boruah, P; Xu, JP; Wang, X; Li, BB; Zhu, HM; Nawaz, M; Shao, DH; Qiu, YF; Wei, JC; Ma, ZY""",The emerged genotype I of Japanese encephalitis virus shows an infectivity similar to genotype III in Culex pipiens mosquitoes from China,10.1371/journal.pntd.0007716,Culex pipiens,pipiens,China,Japanese encephalitis virus,GI SH7 strain,,,,
126,"""Hameed, M; Liu, K; Anwar, MN; Wahaab, A; Safdar, A; Di, D; Boruah, P; Xu, JP; Wang, X; Li, BB; Zhu, HM; Nawaz, M; Shao, DH; Qiu, YF; Wei, JC; Ma, ZY""",The emerged genotype I of Japanese encephalitis virus shows an infectivity similar to genotype III in Culex pipiens mosquitoes from China,10.1371/journal.pntd.0007716,Culex pipiens,pipiens,China,Japanese encephalitis virus,GIII SH15,,,,
260,"""Liu, ZZ; Zhang, ZH; Lai, ZT; Zhou, TF; Jia, ZR; Gu, JB; Wu, K; Chen, XG""",Temperature Increase Enhances Aedes albopictus Competence to Transmit Dengue Virus,10.3389/fmicb.2017.02337,Aedes albopictus,,China,Dengue virus,DENV-2,DENV-2,,,
285,"""Liu, ZZ; Zhou, TF; Lai, ZT; Zhang, ZH; Jia, ZR; Zhou, GF; Williams, T; Xu, JB; Gu, JB; Zhou, XH; Lin, LF; Yan, GY; Chen, XG""","Competence of Aedes aegypti, Ae. albopictus, and Culex quinquefasciatus Mosquitoes as Zika Virus Vectors, China",10.3201/eid2307.161528,Aedes albopictus,,China,Zika virus,Asian lineage (ZJ03),,,,
